% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.273	6	7	28	4	4	14	775	0	0
0.273	9	17	28	4	1	22	1383	0	0
0.273	10	1	28	4	1	28	2196	0	0
0.273	11	2	28	4	1	28	2196	0	0
0.273	12	3	28	4	1	28	2196	0	0
0.273	13	4	28	4	1	28	2196	0	0
0.274	1	10	28	5	2	16	903	0	0
0.274	2	16	28	5	2	12	597	0	0
0.274	4	6	28	5	2	20	1191	0	0
0.274	5	23	28	5	1	12	597	0	0
0.274	6	8	28	5	2	12	597	0	0
0.274	9	17	28	5	1	22	1383	0	0
0.274	10	1	28	5	1	28	2196	0	0
0.274	11	2	28	5	1	28	2196	0	0
0.274	12	3	28	5	1	28	2196	0	0
0.274	13	4	28	5	1	28	2196	0	0
0.275	1	20	28	6	1	10	469	0	0
0.275	2	21	28	6	1	16	903	0	0
0.275	4	22	28	6	4	20	1191	0	0
0.275	5	23	28	6	1	12	597	0	0
0.275	6	14	28	6	3	12	597	0	0
0.275	9	17	28	6	1	22	1383	0	0
0.275	10	1	28	6	1	28	2196	0	0
0.275	11	2	28	6	1	28	2196	0	0
0.275	12	3	28	6	1	28	2196	0	0
0.275	13	4	28	6	1	28	2196	0	0
0.276	1	11	28	7	3	18	967	0	0
0.276	2	16	28	7	2	12	597	0	0
0.276	4	19	28	7	3	12	597	0	0
0.276	5	23	28	7	1	12	597	0	0
0.276	6	7	28	7	4	10	469	0	0
0.276	9	17	28	7	1	22	1383	0	0
0.276	10	1	28	7	1	28	2196	0	0
0.276	11	2	28	7	1	28	2196	0	0
0.276	12	3	28	7	1	28	2196	0	0
0.276	13	4	28	7	1	28	2196	0	0
0.277	1	13	28	8	5	6	309	0	0
0.277	2	16	28	8	2	4	217	0	0
0.277	4	9	28	8	6	2	133	0	0
0.277	5	23	28	8	1	8	421	0	0
0.277	6	15	28	8	1	2	133	0	0
0.277	9	17	28	8	1	14	775	0	0
0.277	10	1	28	8	1	18	967	0	0
0.277	11	2	28	8	1	26	1836	0	0
0.277	12	3	28	8	1	28	2196	0	0
0.277	13	4	28	8	1	18	967	0	0
0.278	1	5	28	9	4	10	469	0	0
0.278	2	21	28	9	1	10	469	0	0
0.278	4	22	28	9	4	12	597	0	0
0.278	5	23	28	9	1	8	421	0	0
0.278	6	8	28	9	2	4	217	0	0
0.278	9	17	28	9	1	14	775	0	0
0.278	10	1	28	9	1	18	967	0	0
0.278	11	2	28	9	1	26	1836	0	0
0.278	12	3	28	9	1	28	2196	0	0
0.278	13	4	28	9	1	18	967	0	0
0.279	1	13	28	10	5	6	309	0	0
0.279	2	16	28	10	2	4	217	0	0
0.279	4	19	28	10	3	6	309	0	0
0.279	5	23	28	10	1	8	421	0	0
0.279	6	14	28	10	3	8	421	0	0
0.279	9	17	28	10	1	14	775	0	0
0.279	10	1	28	10	1	18	967	0	0
0.279	11	2	28	10	1	26	1836	0	0
0.279	12	3	28	10	1	28	2196	0	0
0.279	13	4	28	10	1	18	967	0	0
0.28	1	5	29	1	4	10	469	0	0
0.28	2	21	29	1	1	10	469	0	0
0.28	4	12	29	1	1	8	421	0	0
0.28	5	23	29	1	1	8	421	0	0
0.28	6	7	29	1	4	10	469	0	0
0.28	9	17	29	1	1	14	775	0	0
0.28	10	1	29	1	1	18	967	0	0
0.28	11	2	29	1	1	26	1836	0	0
0.28	12	3	29	1	1	28	2196	0	0
0.28	13	4	29	1	1	18	967	0	0
0.281	1	5	29	2	4	10	469	0	0
0.281	2	16	29	2	2	12	597	0	0
0.281	4	6	29	2	2	14	775	0	0
0.281	5	23	29	2	1	8	421	0	0
0.281	6	8	29	2	2	12	597	0	0
0.281	9	17	29	2	1	14	775	0	0
0.281	10	1	29	2	1	18	967	0	0
0.281	11	2	29	2	1	26	1836	0	0
0.281	12	3	29	2	1	28	2196	0	0
0.281	13	4	29	2	1	18	967	0	0
0.282	1	20	29	3	1	10	469	0	0
0.282	2	16	29	3	2	4	217	0	0
0.282	4	9	29	3	6	2	133	0	0
0.282	5	23	29	3	1	8	421	0	0
0.282	6	15	29	3	1	2	133	0	0
0.282	9	17	29	3	1	14	775	0	0
0.282	10	1	29	3	1	18	967	0	0
0.282	11	2	29	3	1	26	1836	0	0
0.282	12	3	29	3	1	28	2196	0	0
0.282	13	4	29	3	1	18	967	0	0
0.283	1	13	29	4	5	6	309	0	0
0.283	2	16	29	4	2	12	597	0	0
0.283	4	22	29	4	4	12	597	0	0
0.283	5	23	29	4	1	8	421	0	0
