% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.274	2	21	28	5	1	6	153
0.274	2	16	28	5	2	4	105
0.274	4	12	28	5	1	2	26
0.274	4	6	28	5	2	2	26
0.274	4	19	28	5	3	2	26
0.274	4	22	28	5	4	0	15
0.274	4	9	28	5	6	0	15
0.274	5	23	28	5	1	6	325
0.274	6	15	28	5	1	6	75
0.274	6	8	28	5	2	8	101
0.274	6	14	28	5	3	0	19
0.274	6	7	28	5	4	0	19
0.274	9	17	28	5	1	6	325
0.274	10	1	28	5	1	16	967
0.274	11	2	28	5	1	18	999
0.274	12	3	28	5	1	14	807
0.274	13	4	28	5	1	18	999
0.275	1	11	28	6	3	8	137
0.275	1	20	28	6	1	10	157
0.275	1	10	28	6	2	10	157
0.275	2	21	28	6	1	6	153
0.275	2	16	28	6	2	4	105
0.275	4	12	28	6	1	2	26
0.275	4	6	28	6	2	2	26
0.275	4	19	28	6	3	2	26
0.275	4	22	28	6	4	0	15
0.275	4	9	28	6	6	0	15
0.275	5	23	28	6	1	6	325
0.275	6	15	28	6	1	6	75
0.275	6	8	28	6	2	8	101
0.275	6	14	28	6	3	0	19
0.275	6	7	28	6	4	0	19
0.275	9	17	28	6	1	6	325
0.275	10	1	28	6	1	16	967
0.275	11	2	28	6	1	18	999
0.275	12	3	28	6	1	14	807
0.276	1	11	28	7	3	8	137
0.276	1	20	28	7	1	10	157
0.276	1	10	28	7	2	10	157
0.276	2	21	28	7	1	6	153
0.276	2	16	28	7	2	4	105
0.276	4	12	28	7	1	4	41
0.276	4	6	28	7	2	2	26
0.276	4	19	28	7	3	2	26
0.276	4	22	28	7	4	0	15
0.276	4	9	28	7	6	0	15
0.276	5	23	28	7	1	6	325
0.276	6	15	28	7	1	6	75
0.276	6	8	28	7	2	8	101
0.276	6	14	28	7	3	0	19
0.276	6	7	28	7	4	0	19
0.276	9	17	28	7	1	6	325
0.276	10	1	28	7	1	18	999
0.276	11	2	28	7	1	28	2292
0.276	12	3	28	7	1	14	807
0.276	13	4	28	7	1	18	999
0.277	1	11	28	8	3	8	85
0.277	1	20	28	8	1	12	125
0.277	1	10	28	8	2	12	125
0.277	2	21	28	8	1	6	153
0.277	2	16	28	8	2	4	105
0.277	4	12	28	8	1	4	41
0.277	4	6	28	8	2	2	26
0.277	4	19	28	8	3	2	26
0.277	4	22	28	8	4	0	15
0.277	4	9	28	8	6	0	15
0.277	5	23	28	8	1	6	325
0.277	6	15	28	8	1	6	75
0.277	6	8	28	8	2	6	75
0.277	6	14	28	8	3	0	19
0.277	6	7	28	8	4	0	19
0.277	9	17	28	8	1	6	325
0.277	10	1	28	8	1	16	967
0.277	11	2	28	8	1	18	999
0.277	12	3	28	8	1	14	807
0.277	13	4	28	8	1	18	999
0.278	1	11	28	9	3	8	85
0.278	1	20	28	9	1	12	125
0.278	1	10	28	9	2	12	125
0.278	2	21	28	9	1	4	105
0.278	2	16	28	9	2	2	65
0.278	4	12	28	9	1	4	41
0.278	4	6	28	9	2	2	26
0.278	4	19	28	9	3	0	15
0.278	4	9	28	9	6	0	15
0.278	5	23	28	9	1	6	325
0.278	6	15	28	9	1	6	75
0.278	6	8	28	9	2	6	75
0.278	6	14	28	9	3	0	19
0.278	6	7	28	9	4	0	19
0.278	9	17	28	9	1	6	325
0.278	10	1	28	9	1	16	967
0.278	11	2	28	9	1	18	999
0.278	12	3	28	9	1	14	807
0.278	13	4	28	9	1	18	999
0.279	1	11	28	10	3	8	85
0.279	1	20	28	10	1	12	125
0.279	1	10	28	10	2	12	125
0.279	2	21	28	10	1	4	105
0.279	2	16	28	10	2	2	65
0.279	4	12	28	10	1	4	41
0.279	4	6	28	10	2	2	26
