% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.031	3	17	4	2	1	18	967	0	0
0.031	4	5	4	2	2	16	903	0	0
0.031	6	23	4	2	2	18	967	0	0
0.031	7	10	4	2	3	8	421	0	0
0.031	8	20	4	2	1	0	81	0	0
0.031	9	6	4	2	1	2	133	0	0
0.031	10	1	4	2	1	8	421	0	0
0.031	11	2	4	2	1	16	903	0	0
0.031	12	3	4	2	1	8	421	0	0
0.031	13	4	4	2	1	2	133	0	0
0.032	1	18	4	3	2	12	597	0	0
0.032	2	15	4	3	1	12	597	0	0
0.032	3	17	4	3	1	18	967	0	0
0.032	4	19	4	3	1	14	775	0	0
0.032	6	23	4	3	2	18	967	0	0
0.032	7	10	4	3	3	8	421	0	0
0.032	8	20	4	3	1	0	81	0	0
0.032	9	21	4	3	2	0	81	0	0
0.032	10	1	4	3	1	8	421	0	0
0.032	11	2	4	3	1	16	903	0	0
0.032	12	3	4	3	1	8	421	0	0
0.032	13	4	4	3	1	2	133	0	0
0.033	1	18	4	4	2	28	2196	0	0
0.033	2	14	4	4	2	28	2196	0	0
0.033	3	16	4	4	2	28	2196	0	0
0.033	4	5	4	4	2	28	2196	0	0
0.033	6	13	4	4	3	28	2196	0	0
0.033	7	9	4	4	2	2	133	0	0
0.033	8	20	4	4	1	28	2196	0	0
0.033	9	6	4	4	1	2	133	0	0
0.033	10	1	4	4	1	28	2196	0	0
0.033	11	2	4	4	1	28	2196	0	0
0.033	12	3	4	4	1	28	2196	0	0
0.033	13	4	4	4	1	28	2196	0	0
0.034	1	22	4	5	1	28	2196	0	0
0.034	2	15	4	5	1	28	2196	0	0
0.034	3	17	4	5	1	28	2196	0	0
0.034	4	19	4	5	1	28	2196	0	0
0.034	6	7	4	5	1	28	2196	0	0
0.034	7	10	4	5	3	8	421	0	0
0.034	8	20	4	5	1	28	2196	0	0
0.034	9	6	4	5	1	28	2196	0	0
0.034	10	1	4	5	1	28	2196	0	0
0.034	11	2	4	5	1	28	2196	0	0
0.034	12	3	4	5	1	28	2196	0	0
0.034	13	4	4	5	1	28	2196	0	0
0.035	1	18	4	6	2	28	2196	0	0
0.035	2	14	4	6	2	28	2196	0	0
0.035	3	16	4	6	2	28	2196	0	0
0.035	4	5	4	6	2	28	2196	0	0
0.035	6	23	4	6	2	28	2196	0	0
0.035	7	11	4	6	1	28	2196	0	0
0.035	8	20	4	6	1	28	2196	0	0
0.035	9	6	4	6	1	2	133	0	0
0.035	10	1	4	6	1	28	2196	0	0
0.035	11	2	4	6	1	28	2196	0	0
0.035	12	3	4	6	1	28	2196	0	0
0.035	13	4	4	6	1	28	2196	0	0
0.036	1	22	4	7	1	28	2196	0	0
0.036	2	15	4	7	1	28	2196	0	0
0.036	3	17	4	7	1	28	2196	0	0
0.036	4	19	4	7	1	28	2196	0	0
0.036	6	13	4	7	3	28	2196	0	0
0.036	7	11	4	7	1	28	2196	0	0
0.036	8	20	4	7	1	28	2196	0	0
0.036	9	12	4	7	3	28	2196	0	0
0.036	10	1	4	7	1	28	2196	0	0
0.036	11	2	4	7	1	28	2196	0	0
0.036	12	3	4	7	1	28	2196	0	0
0.036	13	4	4	7	1	28	2196	0	0
0.037	1	22	4	8	1	10	469	0	0
0.037	2	15	4	8	1	12	597	0	0
0.037	3	17	4	8	1	18	967	0	0
0.037	4	5	4	8	2	16	903	0	0
0.037	6	23	4	8	2	18	967	0	0
0.037	7	9	4	8	2	2	133	0	0
0.037	8	20	4	8	1	0	81	0	0
0.037	9	6	4	8	1	2	133	0	0
0.037	10	1	4	8	1	8	421	0	0
0.037	11	2	4	8	1	16	903	0	0
0.037	12	3	4	8	1	8	421	0	0
0.037	13	4	4	8	1	2	133	0	0
0.038	1	18	4	9	2	12	597	0	0
0.038	2	15	4	9	1	12	597	0	0
0.038	3	17	4	9	1	18	967	0	0
0.038	4	19	4	9	1	14	775	0	0
0.038	6	7	4	9	1	8	421	0	0
0.038	7	10	4	9	3	8	421	0	0
0.038	8	20	4	9	1	0	81	0	0
0.038	9	6	4	9	1	2	133	0	0
0.038	10	1	4	9	1	8	421	0	0
0.038	11	2	4	9	1	16	903	0	0
0.038	12	3	4	9	1	8	421	0	0
0.038	13	4	4	9	1	2	133	0	0
0.039	1	22	4	10	1	10	469	0	0
0.039	2	15	4	10	1	12	597	0	0
0.039	3	17	4	10	1	18	967	0	0
0.039	4	5	4	10	2	16	903	0	0
0.039	6	23	4	10	2	18	967	0	0
0.039	7	9	4	10	2	2	133	0	0
0.039	8	20	4	10	1	0	81	0	0
0.039	9	6	4	10	1	2	133	0	0
0.039	10	1	4	10	1	8	421	0	0
0.039	11	2	4	10	1	16	903	0	0
0.039	12	3	4	10	1	8	421	0	0
0.039	13	4	4	10	1	2	133	0	0
0.04	1	18	5	1	2	28	2196	0	0
0.04	2	14	5	1	2	28	2196	0	0
0.04	3	16	5	1	2	28	2196	0	0
0.04	4	19	5	1	1	14	775	0	0
0.04	6	13	5	1	3	28	2196	0	0
0.04	7	10	5	1	3	8	421	0	0
0.04	8	20	5	1	1	28	2196	0	0
0.04	9	6	5	1	1	2	133	0	0
0.04	10	1	5	1	1	28	2196	0	0
0.04	11	2	5	1	1	16	903	0	0
0.04	12	3	5	1	1	28	2196	0	0
0.04	13	4	5	1	1	28	2196	0	0
0.041	1	22	5	2	1	28	2196	0	0
0.041	2	15	5	2	1	28	2196	0	0
0.041	3	17	5	2	1	18	967	0	0
0.041	4	19	5	2	1	28	2196	0	0
0.041	6	7	5	2	1	28	2196	0	0
0.041	7	9	5	2	2	2	133	0	0
0.041	8	20	5	2	1	28	2196	0	0
0.041	9	6	5	2	1	28	2196	0	0
0.041	10	1	5	2	1	28	2196	0	0
0.041	11	2	5	2	1	16	903	0	0
0.041	12	3	5	2	1	28	2196	0	0
0.041	13	4	5	2	1	28	2196	0	0
0.042	1	18	5	3	2	28	2196	0	0
0.042	2	14	5	3	2	28	2196	0	0
0.042	3	16	5	3	2	28	2196	0	0
0.042	4	5	5	3	2	16	903	0	0
0.042	6	7	5	3	1	8	421	0	0
0.042	7	11	5	3	1	28	2196	0	0
0.042	8	20	5	3	1	28	2196	0	0
0.042	9	6	5	3	1	2	133	0	0
0.042	10	1	5	3	1	28	2196	0	0
0.042	11	2	5	3	1	16	903	0	0
0.042	12	3	5	3	1	28	2196	0	0
0.042	13	4	5	3	1	28	2196	0	0
0.043	1	22	5	4	1	28	2196	0	0
0.043	2	15	5	4	1	28	2196	0	0
0.043	3	17	5	4	1	18	967	0	0
0.043	4	19	5	4	1	28	2196	0	0
0.043	6	13	5	4	3	28	2196	0	0
0.043	7	11	5	4	1	28	2196	0	0
0.043	8	20	5	4	1	28	2196	0	0
0.043	9	12	5	4	3	28	2196	0	0
0.043	10	1	5	4	1	28	2196	0	0
0.043	11	2	5	4	1	16	903	0	0
0.043	12	3	5	4	1	28	2196	0	0
0.043	13	4	5	4	1	28	2196	0	0
0.044	1	18	5	5	2	12	597	0	0
0.044	2	15	5	5	1	12	597	0	0
0.044	3	17	5	5	1	18	967	0	0
0.044	4	19	5	5	1	14	775	0	0
0.044	6	23	5	5	2	18	967	0	0
0.044	7	10	5	5	3	8	421	0	0
0.044	8	20	5	5	1	0	81	0	0
0.044	9	6	5	5	1	2	133	0	0
0.044	10	1	5	5	1	8	421	0	0
0.044	11	2	5	5	1	16	903	0	0
0.044	12	3	5	5	1	8	421	0	0
0.044	13	4	5	5	1	2	133	0	0
0.045	1	22	5	6	1	10	469	0	0
0.045	2	15	5	6	1	12	597	0	0
0.045	3	17	5	6	1	18	967	0	0
0.045	4	5	5	6	2	16	903	0	0
0.045	6	7	5	6	1	8	421	0	0
0.045	7	9	5	6	2	2	133	0	0
0.045	8	20	5	6	1	0	81	0	0
0.045	9	6	5	6	1	2	133	0	0
0.045	10	1	5	6	1	8	421	0	0
0.045	11	2	5	6	1	16	903	0	0
0.045	12	3	5	6	1	8	421	0	0
0.045	13	4	5	6	1	2	133	0	0
0.046	1	18	5	7	2	12	597	0	0
0.046	2	15	5	7	1	12	597	0	0
0.046	3	17	5	7	1	18	967	0	0
0.046	4	19	5	7	1	14	775	0	0
0.046	6	23	5	7	2	18	967	0	0
0.046	7	10	5	7	3	8	421	0	0
0.046	8	20	5	7	1	0	81	0	0
0.046	9	6	5	7	1	2	133	0	0
0.046	10	1	5	7	1	8	421	0	0
0.046	11	2	5	7	1	16	903	0	0
0.046	12	3	5	7	1	8	421	0	0
0.046	13	4	5	7	1	2	133	0	0
0.047	1	22	5	8	1	10	469	0	0
0.047	2	14	5	8	2	28	2196	0	0
0.047	3	16	5	8	2	28	2196	0	0
0.047	4	5	5	8	2	16	903	0	0
0.047	6	13	5	8	3	28	2196	0	0
0.047	7	9	5	8	2	2	133	0	0
0.047	8	20	5	8	1	28	2196	0	0
0.047	9	6	5	8	1	2	133	0	0
0.047	10	1	5	8	1	28	2196	0	0
0.047	11	2	5	8	1	16	903	0	0
0.047	12	3	5	8	1	28	2196	0	0
0.047	13	4	5	8	1	28	2196	0	0
0.048	1	22	5	9	1	28	2196	0	0
0.048	2	15	5	9	1	12	597	0	0
0.048	3	17	5	9	1	18	967	0	0
0.048	4	19	5	9	1	14	775	0	0
0.048	6	7	5	9	1	28	2196	0	0
0.048	7	10	5	9	3	8	421	0	0
0.048	8	20	5	9	1	28	2196	0	0
0.048	9	6	5	9	1	28	2196	0	0
0.048	10	1	5	9	1	28	2196	0	0
0.048	11	2	5	9	1	16	903	0	0
0.048	12	3	5	9	1	28	2196	0	0
0.048	13	4	5	9	1	28	2196	0	0
0.049	1	18	5	10	2	12	597	0	0
0.049	2	14	5	10	2	28	2196	0	0
0.049	3	16	5	10	2	28	2196	0	0
0.049	4	5	5	10	2	16	903	0	0
0.049	6	7	5	10	1	8	421	0	0
0.049	7	11	5	10	1	28	2196	0	0
0.049	8	20	5	10	1	28	2196	0	0
0.049	9	6	5	10	1	2	133	0	0
0.049	10	1	5	10	1	28	2196	0	0
0.049	11	2	5	10	1	16	903	0	0
0.049	12	3	5	10	1	28	2196	0	0
0.049	13	4	5	10	1	28	2196	0	0
0.05	1	22	6	1	1	10	469	0	0
0.05	2	15	6	1	1	12	597	0	0
0.05	3	17	6	1	1	18	967	0	0
0.05	4	19	6	1	1	14	775	0	0
0.05	6	13	6	1	3	28	2196	0	0
0.05	7	11	6	1	1	28	2196	0	0
0.05	8	20	6	1	1	28	2196	0	0
0.05	9	12	6	1	3	28	2196	0	0
0.05	10	1	6	1	1	28	2196	0	0
0.05	11	2	6	1	1	16	903	0	0
0.05	12	3	6	1	1	28	2196	0	0
0.05	13	4	6	1	1	28	2196	0	0
0.051	1	18	6	2	2	12	597	0	0
0.051	2	15	6	2	1	12	597	0	0
0.051	3	17	6	2	1	18	967	0	0
0.051	4	5	6	2	2	16	903	0	0
0.051	6	23	6	2	2	18	967	0	0
0.051	7	9	6	2	2	2	133	0	0
0.051	8	20	6	2	1	0	81	0	0
0.051	9	6	6	2	1	2	133	0	0
0.051	10	1	6	2	1	8	421	0	0
0.051	11	2	6	2	1	16	903	0	0
0.051	12	3	6	2	1	8	421	0	0
0.051	13	4	6	2	1	2	133	0	0
0.052	1	22	6	3	1	10	469	0	0
0.052	2	15	6	3	1	12	597	0	0
0.052	3	17	6	3	1	18	967	0	0
0.052	4	19	6	3	1	14	775	0	0
0.052	6	7	6	3	1	8	421	0	0
0.052	7	10	6	3	3	8	421	0	0
0.052	8	20	6	3	1	0	81	0	0
0.052	9	6	6	3	1	2	133	0	0
0.052	10	1	6	3	1	8	421	0	0
0.052	11	2	6	3	1	16	903	0	0
0.052	12	3	6	3	1	8	421	0	0
0.052	13	4	6	3	1	2	133	0	0
0.053	1	18	6	4	2	12	597	0	0
0.053	2	15	6	4	1	12	597	0	0
0.053	3	17	6	4	1	18	967	0	0
0.053	4	5	6	4	2	16	903	0	0
0.053	6	23	6	4	2	18	967	0	0
0.053	7	9	6	4	2	2	133	0	0
0.053	8	20	6	4	1	0	81	0	0
0.053	9	6	6	4	1	2	133	0	0
0.053	10	1	6	4	1	8	421	0	0
0.053	11	2	6	4	1	16	903	0	0
0.053	12	3	6	4	1	8	421	0	0
0.053	13	4	6	4	1	2	133	0	0
0.054	1	22	6	5	1	10	469	0	0
0.054	2	15	6	5	1	12	597	0	0
0.054	3	17	6	5	1	18	967	0	0
0.054	4	19	6	5	1	14	775	0	0
0.054	6	13	6	5	3	8	421	0	0
0.054	7	10	6	5	3	8	421	0	0
0.054	8	20	6	5	1	0	81	0	0
0.054	9	6	6	5	1	2	133	0	0
0.054	10	1	6	5	1	8	421	0	0
0.054	11	2	6	5	1	16	903	0	0
0.054	12	3	6	5	1	8	421	0	0
0.054	13	4	6	5	1	2	133	0	0
0.055	1	18	6	6	2	12	597	0	0
0.055	2	14	6	6	2	4	217	0	0
0.055	3	17	6	6	1	18	967	0	0
0.055	4	5	6	6	2	16	903	0	0
0.055	6	7	6	6	1	8	421	0	0
0.055	7	11	6	6	1	8	421	0	0
0.055	8	20	6	6	1	0	81	0	0
0.055	9	6	6	6	1	2	133	0	0
0.055	10	1	6	6	1	8	421	0	0
0.055	11	2	6	6	1	16	903	0	0
0.055	12	3	6	6	1	8	421	0	0
0.055	13	4	6	6	1	2	133	0	0
0.056	1	22	6	7	1	10	469	0	0
0.056	2	15	6	7	1	12	597	0	0
0.056	3	17	6	7	1	18	967	0	0
0.056	4	19	6	7	1	14	775	0	0
0.056	6	23	6	7	2	18	967	0	0
0.056	7	10	6	7	3	8	421	0	0
