% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.033	7	11	4	4	1	6	101
0.033	7	9	4	4	2	0	26
0.033	7	10	4	4	3	0	26
0.033	8	20	4	4	1	8	437
0.033	9	21	4	4	2	0	26
0.033	9	6	4	4	1	2	41
0.033	10	1	4	4	1	18	999
0.033	11	2	4	4	1	12	621
0.033	12	3	4	4	1	28	2292
0.033	13	4	4	4	1	28	2292
0.034	1	22	4	5	1	4	105
0.034	1	18	4	5	2	0	41
0.034	2	15	4	5	1	4	105
0.034	2	14	4	5	2	8	209
0.034	3	17	4	5	1	14	389
0.034	3	16	4	5	2	6	153
0.034	6	7	4	5	1	6	101
0.034	6	23	4	5	2	2	41
0.034	6	13	4	5	3	4	69
0.034	7	11	4	5	1	6	101
0.034	7	9	4	5	2	0	26
0.034	7	10	4	5	3	0	26
0.034	8	20	4	5	1	8	437
0.034	9	21	4	5	2	0	26
0.034	9	6	4	5	1	2	41
0.034	10	1	4	5	1	18	999
0.034	11	2	4	5	1	12	621
0.034	12	3	4	5	1	28	2292
0.034	13	4	4	5	1	28	2292
0.035	1	22	4	6	1	4	105
0.035	1	18	4	6	2	0	41
0.035	2	15	4	6	1	4	105
0.035	2	14	4	6	2	8	209
0.035	3	17	4	6	1	14	389
0.035	3	16	4	6	2	6	153
0.035	6	7	4	6	1	6	101
0.035	6	23	4	6	2	2	41
0.035	6	13	4	6	3	4	69
0.035	7	11	4	6	1	6	101
0.035	7	9	4	6	2	0	26
0.035	7	10	4	6	3	0	26
0.035	8	20	4	6	1	8	437
0.035	9	6	4	6	1	2	41
0.035	10	1	4	6	1	18	999
0.035	11	2	4	6	1	12	621
0.035	12	3	4	6	1	28	2292
0.035	13	4	4	6	1	28	2292
0.036	1	22	4	7	1	4	105
0.036	1	18	4	7	2	0	41
0.036	2	15	4	7	1	4	105
0.036	2	14	4	7	2	8	209
0.036	3	17	4	7	1	14	389
0.036	3	16	4	7	2	6	153
0.036	6	7	4	7	1	6	101
0.036	6	23	4	7	2	2	41
0.036	6	13	4	7	3	4	69
0.036	7	11	4	7	1	6	101
0.036	7	9	4	7	2	0	26
0.036	7	10	4	7	3	0	26
0.036	8	20	4	7	1	8	437
0.036	9	6	4	7	1	2	41
0.036	10	1	4	7	1	18	999
0.036	11	2	4	7	1	12	621
0.036	12	3	4	7	1	28	2292
0.036	13	4	4	7	1	28	2292
0.037	1	22	4	8	1	4	105
0.037	1	18	4	8	2	0	41
0.037	2	15	4	8	1	4	105
0.037	2	14	4	8	2	8	209
0.037	3	17	4	8	1	14	389
0.037	3	16	4	8	2	6	153
0.037	6	7	4	8	1	6	101
0.037	6	23	4	8	2	2	41
0.037	6	13	4	8	3	4	69
0.037	7	11	4	8	1	6	101
0.037	7	9	4	8	2	0	26
0.037	7	10	4	8	3	0	26
0.037	8	20	4	8	1	8	437
0.037	9	21	4	8	2	0	26
0.037	9	6	4	8	1	2	41
0.037	10	1	4	8	1	18	999
0.037	11	2	4	8	1	12	621
0.037	12	3	4	8	1	28	2292
0.037	13	4	4	8	1	28	2292
0.038	1	22	4	9	1	4	105
0.038	1	18	4	9	2	0	41
0.038	2	15	4	9	1	4	105
0.038	2	14	4	9	2	8	209
0.038	3	17	4	9	1	14	389
0.038	3	16	4	9	2	6	153
0.038	6	7	4	9	1	6	101
0.038	6	23	4	9	2	2	41
0.038	6	13	4	9	3	4	69
0.038	7	11	4	9	1	6	101
0.038	7	9	4	9	2	16	309
0.038	7	10	4	9	3	6	101
0.038	8	20	4	9	1	8	437
0.038	9	6	4	9	1	2	41
0.038	10	1	4	9	1	18	999
0.038	11	2	4	9	1	10	501
0.038	12	3	4	9	1	28	2292
0.038	13	4	4	9	1	28	2292
0.039	1	22	4	10	1	4	105
0.039	1	18	4	10	2	0	41
0.039	2	15	4	10	1	4	105
0.039	2	14	4	10	2	8	209
0.039	3	17	4	10	1	14	389
0.039	3	16	4	10	2	6	153
0.039	6	7	4	10	1	6	101
0.039	6	23	4	10	2	2	41
0.039	6	13	4	10	3	4	69
0.039	7	11	4	10	1	6	101
0.039	7	9	4	10	2	16	309
0.039	7	10	4	10	3	6	101
0.039	8	20	4	10	1	8	437
0.039	9	6	4	10	1	2	41
0.039	10	1	4	10	1	18	999
0.039	11	2	4	10	1	10	501
0.039	12	3	4	10	1	28	2292
0.039	13	4	4	10	1	28	2292
0.04	1	22	5	1	1	4	105
0.04	1	18	5	1	2	2	65
0.04	2	15	5	1	1	4	105
0.04	2	14	5	1	2	8	209
0.04	3	17	5	1	1	14	389
0.04	3	16	5	1	2	6	153
0.04	6	7	5	1	1	8	137
0.04	6	23	5	1	2	2	41
0.04	6	13	5	1	3	4	69
0.04	7	11	5	1	1	6	101
0.04	7	9	5	1	2	16	309
0.04	7	10	5	1	3	12	201
0.04	8	20	5	1	1	10	501
0.04	9	6	5	1	1	2	41
0.04	10	1	5	1	1	18	999
0.04	11	2	5	1	1	12	621
0.04	12	3	5	1	1	28	2292
0.04	13	4	5	1	1	28	2292
0.041	1	22	5	2	1	4	105
0.041	1	18	5	2	2	2	65
0.041	2	15	5	2	1	4	105
0.041	2	14	5	2	2	8	209
0.041	3	17	5	2	1	14	389
0.041	3	16	5	2	2	6	153
0.041	6	7	5	2	1	8	137
0.041	6	23	5	2	2	2	41
0.041	6	13	5	2	3	4	69
0.041	7	11	5	2	1	6	101
0.041	7	9	5	2	2	16	309
0.041	7	10	5	2	3	12	201
0.041	8	20	5	2	1	10	501
0.041	9	6	5	2	1	2	41
0.041	10	1	5	2	1	18	999
0.041	11	2	5	2	1	12	621
0.041	12	3	5	2	1	28	2292
0.041	13	4	5	2	1	28	2292
0.042	1	22	5	3	1	4	105
0.042	1	18	5	3	2	2	65
0.042	2	15	5	3	1	4	105
0.042	2	14	5	3	2	8	209
0.042	3	17	5	3	1	14	389
0.042	3	16	5	3	2	6	153
0.042	6	7	5	3	1	8	137
0.042	6	23	5	3	2	2	41
0.042	6	13	5	3	3	4	69
0.042	7	11	5	3	1	6	101
0.042	7	9	5	3	2	16	309
0.042	7	10	5	3	3	12	201
0.042	8	20	5	3	1	10	501
0.042	9	6	5	3	1	2	41
0.042	10	1	5	3	1	18	999
0.042	11	2	5	3	1	12	621
0.042	12	3	5	3	1	28	2292
0.042	13	4	5	3	1	28	2292
0.043	1	22	5	4	1	4	105
0.043	1	18	5	4	2	2	65
0.043	2	15	5	4	1	4	105
0.043	2	14	5	4	2	8	209
0.043	3	17	5	4	1	14	389
0.043	3	16	5	4	2	6	153
0.043	6	7	5	4	1	8	137
0.043	6	23	5	4	2	2	41
0.043	6	13	5	4	3	4	69
0.043	7	11	5	4	1	6	101
0.043	7	9	5	4	2	16	309
0.043	7	10	5	4	3	12	201
0.043	8	20	5	4	1	10	501
0.043	9	6	5	4	1	2	41
0.043	10	1	5	4	1	18	999
0.043	11	2	5	4	1	12	621
0.043	12	3	5	4	1	28	2292
0.043	13	4	5	4	1	28	2292
0.044	1	22	5	5	1	4	105
0.044	1	18	5	5	2	2	65
0.044	2	15	5	5	1	4	105
0.044	2	14	5	5	2	8	209
0.044	3	17	5	5	1	14	389
0.044	3	16	5	5	2	6	153
0.044	6	7	5	5	1	8	137
0.044	6	23	5	5	2	2	41
0.044	6	13	5	5	3	4	69
0.044	7	11	5	5	1	6	101
0.044	7	9	5	5	2	16	309
0.044	7	10	5	5	3	12	201
0.044	8	20	5	5	1	10	501
0.044	9	6	5	5	1	2	41
0.044	10	1	5	5	1	18	999
0.044	11	2	5	5	1	12	621
0.044	12	3	5	5	1	28	2292
0.044	13	4	5	5	1	28	2292
0.045	1	22	5	6	1	4	105
0.045	1	18	5	6	2	2	65
0.045	2	15	5	6	1	4	105
0.045	2	14	5	6	2	8	209
0.045	3	17	5	6	1	14	389
0.045	3	16	5	6	2	6	153
0.045	6	7	5	6	1	8	137
0.045	6	23	5	6	2	2	41
0.045	6	13	5	6	3	4	69
0.045	7	11	5	6	1	6	101
0.045	7	9	5	6	2	16	309
0.045	7	10	5	6	3	12	201
0.045	8	20	5	6	1	10	501
0.045	9	6	5	6	1	2	41
0.045	10	1	5	6	1	18	999
0.045	11	2	5	6	1	12	621
0.045	12	3	5	6	1	28	2292
0.045	13	4	5	6	1	28	2292
0.046	1	22	5	7	1	4	105
0.046	1	18	5	7	2	2	65
0.046	2	15	5	7	1	4	105
0.046	2	14	5	7	2	8	209
0.046	3	17	5	7	1	14	389
0.046	3	16	5	7	2	6	153
0.046	6	7	5	7	1	8	137
0.046	6	23	5	7	2	2	41
0.046	6	13	5	7	3	4	69
0.046	7	11	5	7	1	6	101
0.046	7	9	5	7	2	16	309
0.046	7	10	5	7	3	12	201
0.046	8	20	5	7	1	10	501
0.046	9	6	5	7	1	2	41
0.046	10	1	5	7	1	18	999
0.046	11	2	5	7	1	12	621
0.046	12	3	5	7	1	28	2292
0.046	13	4	5	7	1	28	2292
0.047	1	22	5	8	1	4	105
0.047	1	18	5	8	2	2	65
0.047	2	15	5	8	1	4	105
0.047	2	14	5	8	2	8	209
0.047	3	17	5	8	1	14	389
0.047	3	16	5	8	2	6	153
0.047	6	7	5	8	1	8	137
0.047	6	23	5	8	2	2	41
0.047	6	13	5	8	3	4	69
0.047	7	11	5	8	1	6	101
0.047	7	9	5	8	2	16	309
0.047	7	10	5	8	3	12	201
0.047	8	20	5	8	1	10	501
0.047	9	6	5	8	1	2	41
0.047	10	1	5	8	1	18	999
0.047	11	2	5	8	1	12	621
0.047	12	3	5	8	1	28	2292
0.047	13	4	5	8	1	28	2292
0.048	1	22	5	9	1	4	105
0.048	1	18	5	9	2	2	65
0.048	2	15	5	9	1	4	105
0.048	2	14	5	9	2	8	209
0.048	3	17	5	9	1	14	389
0.048	3	16	5	9	2	6	153
0.048	6	7	5	9	1	8	137
0.048	6	23	5	9	2	2	41
0.048	6	13	5	9	3	4	69
0.048	7	11	5	9	1	6	101
0.048	7	9	5	9	2	16	309
0.048	7	10	5	9	3	12	201
0.048	8	20	5	9	1	10	501
0.048	9	6	5	9	1	2	41
0.048	10	1	5	9	1	18	999
0.048	11	2	5	9	1	12	621
0.048	12	3	5	9	1	28	2292
0.048	13	4	5	9	1	28	2292
0.049	1	22	5	10	1	4	105
0.049	1	18	5	10	2	2	65
0.049	2	15	5	10	1	4	105
0.049	2	14	5	10	2	8	209
0.049	3	17	5	10	1	14	389
0.049	3	16	5	10	2	6	153
0.049	6	7	5	10	1	8	137
0.049	6	23	5	10	2	2	41
0.049	6	13	5	10	3	4	69
0.049	7	11	5	10	1	6	101
0.049	7	9	5	10	2	16	309
0.049	7	10	5	10	3	12	201
0.049	8	20	5	10	1	10	501
0.049	9	6	5	10	1	2	41
0.049	10	1	5	10	1	18	999
0.049	11	2	5	10	1	12	621
0.049	12	3	5	10	1	28	2292
0.049	13	4	5	10	1	28	2292
0.05	1	22	6	1	1	4	105
0.05	1	18	6	1	2	2	65
0.05	2	15	6	1	1	4	105
0.05	2	14	6	1	2	8	209
0.05	3	17	6	1	1	14	389
0.05	3	16	6	1	2	6	153
0.05	6	7	6	1	1	8	137
0.05	6	23	6	1	2	2	41
0.05	6	13	6	1	3	4	69
0.05	7	11	6	1	1	6	101
0.05	7	9	6	1	2	16	309
0.05	7	10	6	1	3	12	201
0.05	8	20	6	1	1	10	501
0.05	9	6	6	1	1	2	41
0.05	10	1	6	1	1	18	999
0.05	11	2	6	1	1	12	621
0.05	12	3	6	1	1	28	2292
0.05	13	4	6	1	1	28	2292
0.051	1	22	6	2	1	4	105
0.051	1	18	6	2	2	2	65
0.051	2	15	6	2	1	4	105
0.051	2	14	6	2	2	8	209
0.051	3	17	6	2	1	14	389
0.051	3	16	6	2	2	6	153
0.051	6	7	6	2	1	8	137
0.051	6	23	6	2	2	2	41
0.051	6	13	6	2	3	4	69
0.051	7	11	6	2	1	6	101
0.051	7	9	6	2	2	16	309
0.051	7	10	6	2	3	12	201
0.051	8	20	6	2	1	10	501
0.051	9	6	6	2	1	2	41
0.051	10	1	6	2	1	18	999
0.051	11	2	6	2	1	12	621
0.051	12	3	6	2	1	28	2292
0.051	13	4	6	2	1	28	2292
0.052	1	22	6	3	1	4	105
0.052	1	18	6	3	2	2	65
0.052	2	15	6	3	1	4	105
0.052	2	14	6	3	2	8	209
0.052	3	17	6	3	1	14	389
0.052	3	16	6	3	2	6	153
0.052	6	7	6	3	1	8	137
0.052	6	23	6	3	2	2	41
0.052	6	13	6	3	3	4	69
0.052	7	11	6	3	1	6	101
0.052	7	9	6	3	2	16	309
0.052	7	10	6	3	3	12	201
0.052	8	20	6	3	1	10	501
0.052	9	6	6	3	1	2	41
0.052	10	1	6	3	1	18	999
0.052	11	2	6	3	1	12	621
0.052	12	3	6	3	1	28	2292
0.052	13	4	6	3	1	28	2292
0.053	1	22	6	4	1	4	105
0.053	1	18	6	4	2	2	65
0.053	2	15	6	4	1	4	105
0.053	2	14	6	4	2	8	209
0.053	3	17	6	4	1	14	389
0.053	3	16	6	4	2	6	153
0.053	6	7	6	4	1	8	137
0.053	6	23	6	4	2	2	41
0.053	6	13	6	4	3	4	69
0.053	7	11	6	4	1	6	101
0.053	7	9	6	4	2	16	309
0.053	7	10	6	4	3	12	201
0.053	8	20	6	4	1	10	501
0.053	9	6	6	4	1	2	41
0.053	10	1	6	4	1	18	999
0.053	11	2	6	4	1	12	621
0.053	12	3	6	4	1	28	2292
0.053	13	4	6	4	1	28	2292
0.054	1	22	6	5	1	4	105
0.054	1	18	6	5	2	2	65
0.054	2	15	6	5	1	4	105
